Wall time,Step,Value
1615731307.4099863,5,2.3077504634857178
1615731307.659847,18,2.2994866371154785
1615731307.7692137,24,2.3021485805511475
1615731308.0612478,40,2.301981210708618
1615731308.0977035,42,2.3031673431396484
1615731308.151166,45,2.29238224029541
1615731308.2999978,53,2.3061447143554688
1615731308.3892326,56,2.3033831119537354
1615731308.661849,71,2.3025271892547607
1615731308.7156975,74,2.300074577331543
1615731309.0951777,94,2.300938367843628
1615731317.9270794,102,2.2929470539093018
1615731318.0030713,106,2.2944376468658447
1615731318.371993,126,2.277188777923584
1615731318.6079109,139,2.291853666305542
1615731318.894766,155,2.257485866546631
1615731318.9511495,158,2.271644115447998
1615731319.1209059,167,2.2395832538604736
1615731319.321324,178,2.1247003078460693
1615731319.410908,183,2.1700851917266846
1615731319.447893,185,2.1287472248077393
1615731319.4659827,186,2.099348783493042
1615731319.5371392,190,2.1109519004821777
1615731328.439404,207,2.0829668045043945
1615731328.7412689,223,2.061922550201416
1615731328.849219,229,1.9890717267990112
1615731328.940404,234,2.1454343795776367
1615731329.2144194,249,2.096215009689331
1615731329.3232346,255,2.0027265548706055
1615731329.4134254,260,1.8539795875549316
1615731329.540164,267,1.8992676734924316
1615731329.6150753,271,1.9509549140930176
1615731329.6582906,273,1.9900187253952026
1615731330.005751,292,1.8531816005706787
1615731338.8325481,308,1.7296701669692993
1615731338.8692865,310,1.9706319570541382
1615731339.024075,318,1.8625307083129883
1615731339.2452343,330,1.9605599641799927
1615731339.4070492,339,1.7710832357406616
1615731339.551419,347,1.853216290473938
1615731339.8407984,363,1.8544280529022217
1615731339.9151907,367,1.9522137641906738
1615731349.5733092,421,1.7673399448394775
1615731349.591264,422,1.914488673210144
1615731349.9041646,439,1.8797646760940552
1615731349.940715,441,2.0011091232299805
1615731349.9606943,442,2.0207786560058594
1615731350.0160623,445,1.8449172973632812
1615731350.2872458,460,1.8822300434112549
1615731350.3403075,463,1.856037974357605
1615731350.3594573,464,1.9152570962905884
1615731350.5422547,474,1.6940321922302246
1615731350.8481045,491,1.7627390623092651
1615731350.8864408,493,1.8290705680847168
1615731359.6308649,514,1.6727333068847656
1615731359.685933,517,1.752362847328186
