Wall time,Step,Value
1615731307.3120394,0,0.10042857378721237
1615731317.8883257,100,0.16487754881381989
1615731328.3095644,200,0.2052857130765915
1615731338.682285,300,0.2662040889263153
1615731349.183415,400,0.32630613446235657
1615731359.3577325,500,0.3543469309806824
1615731369.784073,600,0.367632657289505
1615731380.2084885,700,0.40197959542274475
1615731390.1002629,700,0.4129796028137207
1615731400.3682847,800,0.4955306053161621
1615731410.75593,900,0.4405714273452759
1615731421.2635992,1000,0.48748978972435
1615731431.6807272,1100,0.552775502204895
1615731442.1333594,1200,0.5462856888771057
1615731452.527758,1300,0.5744285583496094
1615731462.930538,1400,0.590367317199707
1615731472.897854,1400,0.6006530523300171
1615731483.1769836,1500,0.6022040843963623
1615731493.461102,1600,0.6474897861480713
1615731504.298797,1700,0.6531020402908325
1615731515.0559762,1800,0.6555918455123901
1615731526.042054,1900,0.6842244863510132
1615731536.4648936,2000,0.6910816431045532
1615731547.0159776,2100,0.7017551064491272
1615731556.9412622,2100,0.7162653207778931
1615731567.338508,2200,0.7246326804161072
1615731577.7323585,2300,0.711306095123291
1615731588.120825,2400,0.730571448802948
1615731598.6013343,2500,0.743591845035553
1615731608.9086294,2600,0.7044693827629089
1615731619.8483622,2700,0.719632625579834
1615731630.8154402,2800,0.7396530508995056
1615731641.3251746,2800,0.7383061051368713
1615731652.1582341,2900,0.7734693884849548
1615731662.7386634,3000,0.7479591965675354
1615731673.130207,3100,0.7724694013595581
1615731683.8455613,3200,0.7770612239837646
1615731694.2870831,3300,0.7854489684104919
1615731704.6907096,3400,0.7918979525566101
1615731714.9949625,3500,0.7832244634628296
1615731724.9476635,3500,0.7896530628204346
1615731735.3879106,3600,0.7958163022994995
1615731745.8448508,3700,0.8093469142913818
1615731756.8306804,3800,0.8012040853500366
1615731767.6424487,3900,0.8167755007743835
1615731778.6052241,4000,0.8156326413154602
1615731789.8674717,4100,0.8045918345451355
1615731800.683982,4200,0.8204285502433777
1615731810.8090734,4200,0.8418979644775391
1615731821.5239577,4300,0.8309387564659119
1615731832.1085484,4400,0.8476938605308533
1615731842.7999258,4500,0.823285698890686
1615731853.5200598,4600,0.8385714292526245
1615731864.2153141,4700,0.854673445224762
1615731875.6925993,4800,0.8286734819412231
1615731887.0230117,4900,0.8492040634155273
1615731898.0334215,4900,0.843816339969635
1615731909.2004833,5000,0.8475918173789978
1615731919.9643638,5100,0.8694489598274231
1615731930.5529754,5200,0.8471632599830627
1615731941.1979196,5300,0.8689795732498169
1615731951.75103,5400,0.874367356300354
1615731962.2357373,5500,0.8612244725227356
1615731973.0089262,5600,0.8819387555122375
1615731983.1670346,5600,0.8771020174026489
1615731993.5851219,5700,0.8814898133277893
1615732004.1667457,5800,0.884591817855835
1615732015.2012153,5900,0.8855918645858765
1615732026.2721503,6000,0.8935714364051819
1615732036.587746,6100,0.8689388036727905
1615732047.481109,6200,0.8646326661109924
1615732058.4671721,6300,0.8864693641662598
1615732068.2977455,6300,0.9003673195838928
1615732078.5958674,6400,0.9015714526176453
1615732089.000431,6500,0.8953469395637512
1615732099.264806,6600,0.9096530675888062
1615732109.6459503,6700,0.9071020483970642
1615732119.9665277,6800,0.9054489731788635
1615732130.6810896,6900,0.9066530466079712
1615732141.4509258,7000,0.9215714335441589
