Wall time,Step,Value
1615733799.9309347,5,2.3665504455566406
1615733800.185198,18,1.8601486682891846
1615733800.2995334,24,2.002547025680542
1615733800.604847,40,2.009314775466919
1615733800.6438427,42,1.9584726095199585
1615733800.7034662,45,1.6341484785079956
1615733800.8679798,53,1.991640329360962
1615733800.9255962,56,1.9135276079177856
1615733801.212939,71,1.7302659749984741
1615733801.2698846,74,1.877451777458191
1615733801.6609282,94,1.7899097204208374
1615733810.4589038,102,1.7794009447097778
1615733810.5365772,106,1.9388221502304077
1615733810.9220867,126,1.9480873346328735
1615733811.1704245,139,1.2929381132125854
1615733811.477259,155,1.474710464477539
1615733811.5381923,158,1.7320380210876465
1615733811.719205,167,1.8470643758773804
1615733811.9289052,178,1.7375272512435913
1615733812.0241067,183,1.6733559370040894
1615733812.0632102,185,1.5420795679092407
1615733812.0821745,186,1.6627287864685059
1615733812.1579218,190,1.4898030757904053
1615733821.123981,207,1.4896177053451538
1615733821.435753,223,1.527039885520935
1615733821.5496898,229,1.7773884534835815
1615733821.6448472,234,1.869418978691101
1615733821.9337158,249,1.5315874814987183
1615733822.0488143,255,2.072920560836792
1615733822.1765451,260,1.7062338590621948
1615733822.3109345,267,1.3846063613891602
1615733822.3869421,271,1.284343957901001
1615733822.4240413,273,1.6586118936538696
1615733822.7895982,292,1.5136919021606445
1615733831.6717634,308,1.3934681415557861
1615733831.712654,310,1.227681279182434
1615733831.873947,318,1.3493590354919434
1615733832.103778,330,1.4260960817337036
1615733832.281979,339,1.3572237491607666
1615733832.4338827,347,1.6227302551269531
1615733832.7342732,363,1.2281198501586914
1615733832.812672,367,1.2932342290878296
1615733842.5710633,421,1.262965440750122
1615733842.5900297,422,1.6028271913528442
1615733842.9141,439,1.4132225513458252
1615733842.951984,441,1.122376799583435
1615733842.9709988,442,1.2747756242752075
1615733843.0279372,445,1.3428566455841064
1615733843.3150523,460,1.2075554132461548
1615733843.3737423,463,1.137368083000183
1615733843.3927379,464,1.1526403427124023
1615733843.605247,474,1.2358118295669556
1615733843.929659,491,1.4406781196594238
1615733843.9675753,493,1.374484896659851
1615733852.9464884,514,1.2717139720916748
1615733853.0023117,517,1.537729024887085
1615733853.1570458,525,1.0171327590942383
1615733853.2729142,531,1.0299125909805298
1615733853.367766,536,1.0512080192565918
1615733853.4821053,542,1.1699703931808472
1615733853.5776794,547,1.092397928237915
1615733853.7676897,557,1.1542606353759766
1615733853.8820393,563,1.1704508066177368
1615733854.071997,573,0.9416288137435913
1615733854.1860373,579,1.0310167074203491
1615733854.2241824,581,1.2025532722473145
1615733854.3274596,586,1.0553171634674072
1615733854.3669376,587,1.3944820165634155
1615733863.169424,602,1.2035666704177856
1615733863.5219245,620,1.1556198596954346
1615733863.5597034,622,1.3629546165466309
1615733863.7877128,634,0.7154658436775208
1615733863.9240878,641,1.0185734033584595
1615733863.9430394,642,0.993358850479126
1615733863.9810374,644,1.0373623371124268
1615733864.0383584,647,1.1329034566879272
1615733864.0772674,649,1.2165477275848389
